workflow_id,workflow_name,classification,points,file_name,nodes,active
PromptSecGwV1a8LmN,Chelsea Prompt Security Gateway v3.0 — HARDENED STAGED,новый workflow,3,Chelsea Prompt Security Gateway v3.0 — HARDENED STAGED.json,4,False
QDP8nT5cL2vR7mXa,Chelsea Qdrant Privacy Adapter v1.0 — HARDENED STAGED,новый workflow,"2,8",Chelsea Qdrant Privacy Adapter v1.0 — HARDENED STAGED.json,13,False
RELMON7c3d4e5f6a7b,Chelsea Reliability Monitor v1.0 — HARDENED STAGED,новый workflow,"2,7",Chelsea Reliability Monitor v1.0 — HARDENED STAGED.json,9,False
JdJJcYvZdJgJiElS,Chelsea Resolution Questions v3.0 [HARDENED STAGED],изменён существовавший workflow,"1,2,4",Chelsea Resolution Questions v3.0 — HARDENED STAGED.json,16,False
FiTw7NHWsbSqg6RP,Chelsea Scheduler Lease Guard v1.0 — HARDENED STAGED,новый workflow,"2,7",Chelsea Scheduler Lease Guard v1.0 — HARDENED STAGED.json,6,False
SCH7nM4xV2cL9pQa,Chelsea Scheduler Orchestrator v1.0 — HARDENED STAGED,новый workflow,"2,7,8",Chelsea Scheduler Orchestrator v1.0 — HARDENED STAGED.json,79,False
zW9Ny2Is64j3nO8e,Chelsea State Intake Shadow v1.0 — HARDENED STAGED,новый workflow,10,Chelsea State Intake Shadow v1.0 — HARDENED STAGED.json,6,False
TM10812fc805a729a,Chelsea Task Answer Branch Cancel Draft v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Answer Branch Cancel Draft v1.0 — HARDENED STAGED.json,2,False
TM1051e0681770416,Chelsea Task Answer Branch Create Draft Needs Details v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Answer Branch Create Draft Needs Details v1.0 — HARDENED STAGED.json,2,False
TM107206b8fcafd66,Chelsea Task Answer Branch Mutation Draft v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Answer Branch Mutation Draft v1.0 — HARDENED STAGED.json,2,False
TM1062776ad6c450a,Chelsea Task Answer Branch Needs Details v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Answer Branch Needs Details v1.0 — HARDENED STAGED.json,2,False
TM10c432016f8c4a7,Chelsea Task Answer Branch Normal v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Answer Branch Normal v1.0 — HARDENED STAGED.json,2,False
TM10c9f19bbed9e51,Chelsea Task Answer Branch Terminal v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Answer Branch Terminal v1.0 — HARDENED STAGED.json,2,False
M4JqA5dzW7rC9sTx,Chelsea Task Domain Runtime v2.0 — MODULAR HARDENED STAGED,новый workflow,5,Chelsea Task Domain Runtime v2.0 — MODULAR HARDENED STAGED.json,25,False
JPpslgT3mncJzEEy,Chelsea Task Intent Shadow v1.0 — HARDENED STAGED,новый workflow,"1,10",Chelsea Task Intent Shadow v1.0 — HARDENED STAGED.json,4,False
TM10b0febcc818c0c,Chelsea Task Mutation Branch Create Draft Answer v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Mutation Branch Create Draft Answer v1.0 — HARDENED STAGED.json,2,False
TM105b5cd21f3fecc,Chelsea Task Mutation Branch Pre Route v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Mutation Branch Pre Route v1.0 — HARDENED STAGED.json,2,False
TM102b6ad5e40f252,Chelsea Task Mutation Branch Task Answer v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Mutation Branch Task Answer v1.0 — HARDENED STAGED.json,9,False
T10d0678e94dee69,Chelsea Task Operation Attach Telegram Key to Task Action v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Attach Telegram Key to Task Action v1.0 — HARDENED STAGED.json,2,False
T10bc4d97a3476f3,Chelsea Task Operation Build Telegram Task Response v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Build Telegram Task Response v1.0 — HARDENED STAGED.json,2,False
T10af49d550a9600,Chelsea Task Operation Finalize Telegram Task Delivery v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Finalize Telegram Task Delivery v1.0 — HARDENED STAGED.json,2,False
T101bde66b6cf26c,Chelsea Task Operation Finalize Telegram Task Receipt v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Finalize Telegram Task Receipt v1.0 — HARDENED STAGED.json,2,False
T10cccd671a11087,Chelsea Task Operation Finalize Verified Task Command Saga v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Finalize Verified Task Command Saga v1.0 — HARDENED STAGED.json,2,False
T1025d0ce7ad99f4,Chelsea Task Operation Normalize Trusted Task Input v1.0 — HARDENED STAGED,новый workflow,"1,5",Chelsea Task Operation Normalize Trusted Task Input v1.0 — HARDENED STAGED.json,2,False
T1055ec59562a258,Chelsea Task Operation Plan Expired Dispatch Reconciliation v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Plan Expired Dispatch Reconciliation v1.0 — HARDENED STAGED.json,2,False
T105888095b63685,Chelsea Task Operation Plan Internal Task Action v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Plan Internal Task Action v1.0 — HARDENED STAGED.json,2,False
T106c655bd8e065e,Chelsea Task Operation Plan Task Action Claim v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Plan Task Action Claim v1.0 — HARDENED STAGED.json,2,False
T1014db58b06e187,Chelsea Task Operation Plan Trusted Task Mutation v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Plan Trusted Task Mutation v1.0 — HARDENED STAGED.json,7,False
T104273c7aa49eee,Chelsea Task Operation Prepare Registered Task Users v1.0 — HARDENED STAGED,новый workflow,"1,5",Chelsea Task Operation Prepare Registered Task Users v1.0 — HARDENED STAGED.json,2,False
T102df83f961ee96,Chelsea Task Operation Route Task Operation v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Route Task Operation v1.0 — HARDENED STAGED.json,2,False
T10d70c24a8dcf74,Chelsea Task Operation Select Due Task Actions v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Select Due Task Actions v1.0 — HARDENED STAGED.json,2,False
T10eff9a6c763ba3,Chelsea Task Operation Verify Claim and Plan Action v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Verify Claim and Plan Action v1.0 — HARDENED STAGED.json,2,False
T108a9b93fc0d15d,Chelsea Task Operation Verify Dispatch and Build Telegram Action v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Verify Dispatch and Build Telegram Action v1.0 — HARDENED STAGED.json,2,False
T10836409ec04587,Chelsea Task Operation Verify Expired Dispatch Reconciliation v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Verify Expired Dispatch Reconciliation v1.0 — HARDENED STAGED.json,2,False
T100abdfea74ba71,Chelsea Task Operation Verify Folder User Identity v1.0 — HARDENED STAGED,новый workflow,"1,5,6",Chelsea Task Operation Verify Folder User Identity v1.0 — HARDENED STAGED.json,2,False
T10c3515f29855db,Chelsea Task Operation Verify Internal Task Mutation v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Verify Internal Task Mutation v1.0 — HARDENED STAGED.json,2,False
T1049d966a366c6a,Chelsea Task Operation Verify Task Command Saga Mutation v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Verify Task Command Saga Mutation v1.0 — HARDENED STAGED.json,2,False
T1011cf85aa441ba,Chelsea Task Operation Verify Task Delivery Mutation v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Verify Task Delivery Mutation v1.0 — HARDENED STAGED.json,2,False
T103471a71f8c2ca,Chelsea Task Operation Verify Task Mutation Read Back v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Verify Task Mutation Read Back v1.0 — HARDENED STAGED.json,2,False
T10111afa8d29e81,Chelsea Task Operation Verify Task Question Receipt v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Operation Verify Task Question Receipt v1.0 — HARDENED STAGED.json,2,False
TM10cec23d5534890,Chelsea Task Resume Branch Already Active v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Resume Branch Already Active v1.0 — HARDENED STAGED.json,2,False
TM10e68b25d803c8b,Chelsea Task Resume Branch Direct v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Resume Branch Direct v1.0 — HARDENED STAGED.json,2,False
TM101c19853253419,Chelsea Task Resume Branch Interrupted v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Resume Branch Interrupted v1.0 — HARDENED STAGED.json,2,False
TM10ccbadad402fbc,Chelsea Task Resume Branch Saga v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Resume Branch Saga v1.0 — HARDENED STAGED.json,2,False
TM10474f43359d19a,Chelsea Task Resume Branch Terminal v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Resume Branch Terminal v1.0 — HARDENED STAGED.json,2,False
TM1000359ac234037,Chelsea Task Semantic Branch Cancel Series v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Branch Cancel Series v1.0 — HARDENED STAGED.json,2,False
TM10dc11af9a683cf,Chelsea Task Semantic Branch Clarification v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Branch Clarification v1.0 — HARDENED STAGED.json,2,False
TM109b672786c183a,Chelsea Task Semantic Branch Create Series v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Branch Create Series v1.0 — HARDENED STAGED.json,2,False
TM109923a89e2320a,Chelsea Task Semantic Branch Create v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Branch Create v1.0 — HARDENED STAGED.json,2,False
TM10f5a134c98a4cf,Chelsea Task Semantic Branch Direct Mutation v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Branch Direct Mutation v1.0 — HARDENED STAGED.json,2,False
TM104c3b1b81f45d5,Chelsea Task Semantic Branch Outcome v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Branch Outcome v1.0 — HARDENED STAGED.json,2,False
TM10d624728b9541f,Chelsea Task Semantic Branch Resume Series v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Branch Resume Series v1.0 — HARDENED STAGED.json,8,False
TM10576b8acf8d316,Chelsea Task Semantic Branch Terminal v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Branch Terminal v1.0 — HARDENED STAGED.json,2,False
TMSem1021924750f,Chelsea Task Semantic Mutation Router v1.0 — HARDENED STAGED,новый workflow,5,Chelsea Task Semantic Mutation Router v1.0 — HARDENED STAGED.json,11,False
STPARSE6xA1b2c3d4,Process Chelsea State Analysis Parser v1.0 — HARDENED STAGED,новый workflow,5,Process Chelsea State Analysis Parser v1.0 — HARDENED STAGED.json,3,False
StateReqBuild083e,Process Chelsea State Analysis Request Builder v1.0 — HARDENED STAGED,новый workflow,5,Process Chelsea State Analysis Request Builder v1.0 — HARDENED STAGED.json,2,False
1uZ5KCubNPTyKuh5,Process Chelsea State Analysis Worker v1.0 — HARDENED STAGED,новый workflow,"2,3,5",Process Chelsea State Analysis Worker v1.0 — HARDENED STAGED.json,35,False
jMZYEOqeUpKg19oD,Process Chelsea State ChangeNotification Worker v1.0 — HARDENED STAGED,новый workflow,"2,5",Process Chelsea State ChangeNotification Worker v1.0 — HARDENED STAGED.json,23,False
bE5XAWq7GWHdwZbU,Process Chelsea State ClarificationAnswer Worker v1.0 — HARDENED STAGED,новый workflow,"2,3,5",Process Chelsea State ClarificationAnswer Worker v1.0 — HARDENED STAGED.json,27,False
AnAStMDvOcgg9QQj,Process Chelsea State ClarificationAsk Worker v1.0 — HARDENED STAGED,новый workflow,"2,3,5",Process Chelsea State ClarificationAsk Worker v1.0 — HARDENED STAGED.json,29,False
4Wi9cqjk2Mz7CSXq,Process Chelsea State ClarificationFinalize Worker v1.0 — HARDENED STAGED,новый workflow,"2,3,5",Process Chelsea State ClarificationFinalize Worker v1.0 — HARDENED STAGED.json,34,False
OY9mgITJVR4nHuT9,Process Chelsea State Decision Worker v1.0 — HARDENED STAGED,новый workflow,"2,5",Process Chelsea State Decision Worker v1.0 — HARDENED STAGED.json,5,False
VFcTLbdfS3Ec838w,Process Chelsea State Delivery Worker v1.0 — HARDENED STAGED,новый workflow,"2,5",Process Chelsea State Delivery Worker v1.0 — HARDENED STAGED.json,14,False
cVYLgM5y9YyBkRxZ,Process Chelsea State Evaluation Worker v1.0 — HARDENED STAGED,новый workflow,"2,5",Process Chelsea State Evaluation Worker v1.0 — HARDENED STAGED.json,12,False
qgWN2jDgXChDsbbe,Process Chelsea State FuturePlanFollowUp Worker v1.0 — HARDENED STAGED,новый workflow,"2,5",Process Chelsea State FuturePlanFollowUp Worker v1.0 — HARDENED STAGED.json,20,False
lairbKhoaq0o05aA,Process Chelsea State InteractionRecovery Worker v1.0 — HARDENED STAGED,новый workflow,"2,5",Process Chelsea State InteractionRecovery Worker v1.0 — HARDENED STAGED.json,8,False
04ODyCDlNaIRgTuU,Process Chelsea State Operations Worker v1.0 — HARDENED STAGED,новый workflow,"2,5",Process Chelsea State Operations Worker v1.0 — HARDENED STAGED.json,6,False
cX6ay5aMXH3wdL0v,Process Chelsea State Proactivity Worker v1.0 — HARDENED STAGED,новый workflow,"2,3,5,8",Process Chelsea State Proactivity Worker v1.0 — HARDENED STAGED.json,30,False
puNfqcIG1OEjLpPU,Process Chelsea State QdrantOutbox Worker v1.0 — HARDENED STAGED,новый workflow,"1,2,5",Process Chelsea State QdrantOutbox Worker v1.0 — HARDENED STAGED.json,14,False
STF6pQ2mN9xR4vKa,Process Chelsea State Scheduler v5.0 — MODULAR HARDENED STAGED,новый workflow; заменяет старый Scheduler v4.3 (ID XfKJbLpfQOGdXd3M),"5,7",Process Chelsea State Scheduler v5.0 — MODULAR HARDENED STAGED.json,30,False
q6omiaG4yYgYcwVl,Process Chelsea State StateDateRoute Worker v1.0 — HARDENED STAGED,новый workflow,"2,3,5",Process Chelsea State StateDateRoute Worker v1.0 — HARDENED STAGED.json,40,False
tIraOM8RkQAc2pvw,Process | Chelsea State | Core v2.0 [HARDENED STAGED],изменён существовавший workflow,"2,5,8",Process Chelsea State Core v2.0 — HARDENED STAGED.json,17,False
QRD9aL2xK7mP4vNs,Qdrant загрузка и контроль знаний v6.1 — HARDENED STAGED,новый workflow,"1,2,6",Qdrant загрузка и контроль знаний v6.1 — HARDENED STAGED.json,11,False
FLD8wK3pR6tY2qHb,Создать папки пользователя v4.0 — HARDENED STAGED,новый workflow,"1,2,6",Создать папки пользователя v3.1 — HARDENED STAGED.json,7,False
3T5zBQvkyu3mW9xe,Стандартные вопросы Челси v3.0 [HARDENED STAGED],изменён существовавший workflow,"2,3",Стандартные вопросы Челси v3.0 — HARDENED STAGED.json,60,False
kX2iJZ0Bm3hhTjwX,Челси identity resolver v4.0 — HARDENED STAGED,изменён существовавший workflow,"1,6",Челси identity resolver v3.0 — HARDENED STAGED.json,5,False
j0oV9b3T0CCLKMxL,Челси ТГ бот Obsidian v9.0 [HARDENED STAGED],изменён существовавший workflow,"1,2,3,4",Челси ТГ бот Obsidian v9.0 — HARDENED STAGED.json,237,False
5GAzkL7PzohlOycF,Челси ТГ входная схема v9.0 [HARDENED STAGED],изменён существовавший workflow,"1,2,3,4,8",Челси ТГ входная схема v9.0 — HARDENED STAGED.json,205,False
EWzVuvIxi7Ee8TEu,Челси быстрая реакция worker v2.1 [HARDENED STAGED],изменён существовавший workflow,"2,3",Челси быстрая реакция worker v2.1 — HARDENED STAGED.json,12,False
COC56dbrXhYqRgFP,Челси диспетчер уточнений v3.1 [HARDENED STAGED],изменён существовавший workflow,"1,2,4,7",Челси диспетчер уточнений v3.1 — HARDENED STAGED.json,26,False
awa3pS7rw4fCNEVt,Челси доставка взаимодействий v1.0 [HARDENED STAGED],изменён существовавший workflow,2,Челси доставка взаимодействий v1.0 — HARDENED STAGED.json,55,False
iG8uV66FHyyQZyn8,Челси задачи команды v2.0 [HARDENED STAGED],изменён существовавший workflow,"1,2,3,4,5",Челси задачи команды v2.0 — HARDENED STAGED.json,54,False
7VsagxmTKlmJ1YJ8,Челси задачи планировщик v2.1 [HARDENED STAGED],изменён существовавший workflow,"1,2,4,5,7",Челси задачи планировщик v2.1 — HARDENED STAGED.json,54,False
T05mXj4RA2mfvMoB,Челси запуск взаимодействия v2.0 [HARDENED STAGED],изменён существовавший workflow,2,Челси запуск взаимодействия v2.0 — HARDENED STAGED.json,29,False
N3GFoezvVmoj0wyp,Челси обработчик очереди памяти v2.9 replacement [HARDENED STAGED],изменён существовавший workflow,"1,2,4,7",Челси обработчик очереди памяти v2.9 replacement — HARDENED STAGED.json,38,False
tWHSD8lBIbiHA3D5,Челси очередь памяти enqueue v2.3 [HARDENED STAGED],изменён существовавший workflow,"1,2,4,8",Челси очередь памяти enqueue v2.3 — HARDENED STAGED.json,16,False
by3HcLFOyOHMZa6H,Челси применение уточнений v3.0 [HARDENED STAGED],изменён существовавший workflow,"1,2,3,4",Челси применение уточнений v3.0 — HARDENED STAGED.json,64,False
Q5JF6Ora2lIjKVeV,Челси регистрация пользователя v3.0 — HARDENED STAGED,изменён существовавший workflow,"1,2,6",Челси регистрация пользователя v2.0 — HARDENED STAGED.json,33,False
