point,status,workflow_id,workflow_name,classification,impact
2,✅ Staged-код завершён,IdMigMainV1p7Z4cD,Chelsea Immutable Identity Migration v2.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,rY0nkke3WnwcTnf7,Chelsea Integration Smoke Tests v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,PRIVCLN7d4e5f6a7b8c,Chelsea Privacy Artifact Cleanup Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,CNS4mT8qL2vR7pXa,Chelsea Privacy Consent Intake v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,PRIVDLV7b523f9511cf4,Chelsea Privacy Export Delivery v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,zYOv6rLZVEjAiTNf,Chelsea Privacy Outbox Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,kq7AsKLn7RX1Viv7,Chelsea Privacy Request Intake v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,PRIVRTR7b2c3d4e5f6a,Chelsea Privacy Telegram Router v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,QDP8nT5cL2vR7mXa,Chelsea Qdrant Privacy Adapter v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,RELMON7c3d4e5f6a7b,Chelsea Reliability Monitor v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,JdJJcYvZdJgJiElS,Chelsea Resolution Questions v3.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,FiTw7NHWsbSqg6RP,Chelsea Scheduler Lease Guard v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,SCH7nM4xV2cL9pQa,Chelsea Scheduler Orchestrator v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,1uZ5KCubNPTyKuh5,Process Chelsea State Analysis Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,jMZYEOqeUpKg19oD,Process Chelsea State ChangeNotification Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,bE5XAWq7GWHdwZbU,Process Chelsea State ClarificationAnswer Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,AnAStMDvOcgg9QQj,Process Chelsea State ClarificationAsk Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,4Wi9cqjk2Mz7CSXq,Process Chelsea State ClarificationFinalize Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,OY9mgITJVR4nHuT9,Process Chelsea State Decision Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,VFcTLbdfS3Ec838w,Process Chelsea State Delivery Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,cVYLgM5y9YyBkRxZ,Process Chelsea State Evaluation Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,qgWN2jDgXChDsbbe,Process Chelsea State FuturePlanFollowUp Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,lairbKhoaq0o05aA,Process Chelsea State InteractionRecovery Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,04ODyCDlNaIRgTuU,Process Chelsea State Operations Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,cX6ay5aMXH3wdL0v,Process Chelsea State Proactivity Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,puNfqcIG1OEjLpPU,Process Chelsea State QdrantOutbox Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,q6omiaG4yYgYcwVl,Process Chelsea State StateDateRoute Worker v1.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,tIraOM8RkQAc2pvw,Process | Chelsea State | Core v2.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,QRD9aL2xK7mP4vNs,Qdrant загрузка и контроль знаний v6.1 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,FLD8wK3pR6tY2qHb,Создать папки пользователя v4.0 — HARDENED STAGED,новый workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,3T5zBQvkyu3mW9xe,Стандартные вопросы Челси v3.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,j0oV9b3T0CCLKMxL,Челси ТГ бот Obsidian v9.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,5GAzkL7PzohlOycF,Челси ТГ входная схема v9.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,EWzVuvIxi7Ee8TEu,Челси быстрая реакция worker v2.1 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,COC56dbrXhYqRgFP,Челси диспетчер уточнений v3.1 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,awa3pS7rw4fCNEVt,Челси доставка взаимодействий v1.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,iG8uV66FHyyQZyn8,Челси задачи команды v2.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,7VsagxmTKlmJ1YJ8,Челси задачи планировщик v2.1 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,T05mXj4RA2mfvMoB,Челси запуск взаимодействия v2.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,N3GFoezvVmoj0wyp,Челси обработчик очереди памяти v2.9 replacement [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,tWHSD8lBIbiHA3D5,Челси очередь памяти enqueue v2.3 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,by3HcLFOyOHMZa6H,Челси применение уточнений v3.0 [HARDENED STAGED],изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
2,✅ Staged-код завершён,Q5JF6Ora2lIjKVeV,Челси регистрация пользователя v3.0 — HARDENED STAGED,изменён существовавший workflow,"Удаление секретов из item-flow, перевод HTTP auth на ENV/Credentials, отключение сохранения execution payload и redaction ошибок. Этот файл непосредственно использует ENV/Credentials; дополнительно настройки execution persistence изменены у всех 112 workflow."
3,✅ Staged-код завершён,LLMRawSecV1e9PaT,Chelsea LLM Raw Response Security Gateway v3.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,LLMReqSecV1d2WxY,Chelsea LLM Request Security Gateway v3.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,MemorySecV1c4TuV,Chelsea Memory Candidate Security Validator v3.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,ModelOutSecV1b6QrS,Chelsea Model Output Security Validator v3.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,PromptSecGwV1a8LmN,Chelsea Prompt Security Gateway v3.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,1uZ5KCubNPTyKuh5,Process Chelsea State Analysis Worker v1.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,bE5XAWq7GWHdwZbU,Process Chelsea State ClarificationAnswer Worker v1.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,AnAStMDvOcgg9QQj,Process Chelsea State ClarificationAsk Worker v1.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,4Wi9cqjk2Mz7CSXq,Process Chelsea State ClarificationFinalize Worker v1.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,cX6ay5aMXH3wdL0v,Process Chelsea State Proactivity Worker v1.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,q6omiaG4yYgYcwVl,Process Chelsea State StateDateRoute Worker v1.0 — HARDENED STAGED,новый workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,3T5zBQvkyu3mW9xe,Стандартные вопросы Челси v3.0 [HARDENED STAGED],изменён существовавший workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,j0oV9b3T0CCLKMxL,Челси ТГ бот Obsidian v9.0 [HARDENED STAGED],изменён существовавший workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
3,✅ Staged-код завершён,5GAzkL7PzohlOycF,Челси ТГ входная схема v9.0 [HARDENED STAGED],изменён существовавший workflow,"Обязательные pre-LLM/post-LLM gateways, output validator и memory candidate validator для всех генеративных вызовов."
